home;away;date;gh;ga;full_time;home_ident;away_ident;winner;year;month
Nacional;Defensor Sporting;02/03/2002;2;0;F;Nacional (Uruguay);Defensor Sporting (Uruguay);L;2002;3
Paysandu FC;Deportivo Maldonado;02/03/2002;0;0;F;Paysandu FC (Uruguay);Deportivo Maldonado (Uruguay);E;2002;3
CA Juventud;Bella Vista;03/03/2002;2;1;F;CA Juventud (Uruguay);Bella Vista (Uruguay);L;2002;3
CA Progreso;Danubio;03/03/2002;0;3;F;CA Progreso (Uruguay);Danubio (Uruguay);V;2002;3
Plaza Colonia;CSyd Villa Espanola;03/03/2002;2;0;F;Plaza Colonia (Uruguay);CSyd Villa Espanola (Uruguay);L;2002;3
Racing Club;River Plate;03/03/2002;1;1;F;Racing Club (Uruguay);River Plate (Uruguay);E;2002;3
Tacuarembo Futbol Club;CA Fenix;03/03/2002;3;2;F;Tacuarembo Futbol Club (Uruguay);CA Fenix (Uruguay);L;2002;3
Bella Vista;CA Penarol;09/03/2002;1;4;F;Bella Vista (Uruguay);CA Penarol (Uruguay);V;2002;3
Paysandu FC;Nacional;09/03/2002;0;2;F;Paysandu FC (Uruguay);Nacional (Uruguay);V;2002;3
Plaza Colonia;Montevideo Wanderers;09/03/2002;1;1;F;Plaza Colonia (Uruguay);Montevideo Wanderers (Uruguay);E;2002;3
Tacuarembo Futbol Club;Deportivo Maldonado;10/03/2002;2;4;F;Tacuarembo Futbol Club (Uruguay);Deportivo Maldonado (Uruguay);V;2002;3
CA Fenix;CA Progreso;11/03/2002;4;0;F;CA Fenix (Uruguay);CA Progreso (Uruguay);L;2002;3
CA Juventud;Central Espanol;11/03/2002;0;1;F;CA Juventud (Uruguay);Central Espanol (Uruguay);V;2002;3
Cerro Largo FC;Defensor Sporting;11/03/2002;0;5;F;Cerro Largo FC (Uruguay);Defensor Sporting (Uruguay);V;2002;3
Danubio;Racing Club;11/03/2002;2;1;F;Danubio (Uruguay);Racing Club (Uruguay);L;2002;3
River Plate;CSyd Villa Espanola;11/03/2002;3;1;F;River Plate (Uruguay);CSyd Villa Espanola (Uruguay);L;2002;3
Defensor Sporting;Danubio;15/03/2002;1;3;F;Defensor Sporting (Uruguay);Danubio (Uruguay);V;2002;3
CA Penarol;River Plate;16/03/2002;1;1;F;CA Penarol (Uruguay);River Plate (Uruguay);E;2002;3
Bella Vista;CA Fenix;17/03/2002;0;1;F;Bella Vista (Uruguay);CA Fenix (Uruguay);V;2002;3
CSyd Villa Espanola;Racing Club;17/03/2002;4;0;F;CSyd Villa Espanola (Uruguay);Racing Club (Uruguay);L;2002;3
Central Espanol;CA Progreso;17/03/2002;2;1;F;Central Espanol (Uruguay);CA Progreso (Uruguay);L;2002;3
Deportivo Maldonado;Montevideo Wanderers;17/03/2002;2;0;F;Deportivo Maldonado (Uruguay);Montevideo Wanderers (Uruguay);L;2002;3
Plaza Colonia;Cerro Largo FC;17/03/2002;2;1;F;Plaza Colonia (Uruguay);Cerro Largo FC (Uruguay);L;2002;3
Tacuarembo Futbol Club;Nacional;17/03/2002;1;3;F;Tacuarembo Futbol Club (Uruguay);Nacional (Uruguay);V;2002;3
CA Juventud;Paysandu FC;20/03/2002;5;1;F;CA Juventud (Uruguay);Paysandu FC (Uruguay);L;2002;3
Nacional;CSyd Villa Espanola;22/03/2002;3;1;F;Nacional (Uruguay);CSyd Villa Espanola (Uruguay);L;2002;3
CA Fenix;Danubio;23/03/2002;3;2;F;CA Fenix (Uruguay);Danubio (Uruguay);L;2002;3
CA Progreso;CA Penarol;23/03/2002;2;4;F;CA Progreso (Uruguay);CA Penarol (Uruguay);V;2002;3
Plaza Colonia;Defensor Sporting;23/03/2002;0;1;F;Plaza Colonia (Uruguay);Defensor Sporting (Uruguay);V;2002;3
Central Espanol;Cerro Largo FC;24/03/2002;2;1;F;Central Espanol (Uruguay);Cerro Largo FC (Uruguay);L;2002;3
Deportivo Maldonado;CA Juventud;24/03/2002;1;0;F;Deportivo Maldonado (Uruguay);CA Juventud (Uruguay);L;2002;3
Montevideo Wanderers;Bella Vista;24/03/2002;1;2;F;Montevideo Wanderers (Uruguay);Bella Vista (Uruguay);V;2002;3
Paysandu FC;River Plate;24/03/2002;4;2;F;Paysandu FC (Uruguay);River Plate (Uruguay);L;2002;3
Tacuarembo Futbol Club;Racing Club;24/03/2002;2;0;F;Tacuarembo Futbol Club (Uruguay);Racing Club (Uruguay);L;2002;3
